team,pistol_win,eco_round,eco_win,semi_eco_round,semi_eco_win,semi_buy_round,semi_buy_win,buy_round,buy_win,game_id,tourney_type,map,match_id,total_round,ot,win_lose
ZETA,2.0,2.0,2.0,0.0,0.0,5.0,4.0,10.0,7.0,119634.0,League Play: Week 8,Fracture,184498.0,17,No,win
GEN,0.0,5.0,0.0,2.0,1.0,3.0,0.0,7.0,3.0,119634.0,League Play: Week 8,Fracture,184498.0,17,No,lose
T1,0.0,4.0,0.0,0.0,0.0,4.0,1.0,15.0,9.0,119635.0,League Play: Week 8,Bind,184499.0,23,No,lose
DRX,2.0,2.0,2.0,3.0,0.0,4.0,3.0,14.0,8.0,119635.0,League Play: Week 8,Bind,184499.0,23,No,win
T1,0.0,3.0,0.0,1.0,0.0,4.0,4.0,14.0,5.0,119636.0,League Play: Week 8,Pearl,184499.0,22,No,lose
DRX,2.0,2.0,2.0,1.0,0.0,5.0,2.0,14.0,9.0,119636.0,League Play: Week 8,Pearl,184499.0,22,No,win
TS,1.0,3.0,1.0,0.0,0.0,3.0,1.0,16.0,11.0,119638.0,League Play: Week 8,Haven,184500.0,22,No,win
GES,1.0,3.0,1.0,1.0,0.0,7.0,4.0,11.0,4.0,119638.0,League Play: Week 8,Haven,184500.0,22,No,lose
TS,2.0,2.0,2.0,2.0,0.0,3.0,2.0,16.0,9.0,119639.0,League Play: Week 8,Lotus,184500.0,23,No,win
GES,0.0,4.0,0.0,1.0,1.0,3.0,1.0,15.0,8.0,119639.0,League Play: Week 8,Lotus,184500.0,23,No,lose
TLN,1.0,3.0,1.0,0.0,0.0,6.0,2.0,15.0,10.0,119641.0,League Play: Week 8,Lotus,184501.0,24,Yes,win
DFM,1.0,3.0,1.0,1.0,0.0,6.0,3.0,14.0,7.0,119641.0,League Play: Week 8,Lotus,184501.0,24,Yes,lose
TLN,2.0,3.0,2.0,0.0,0.0,3.0,2.0,11.0,9.0,119642.0,League Play: Week 8,Bind,184501.0,17,No,win
DFM,0.0,3.0,0.0,1.0,0.0,7.0,3.0,6.0,1.0,119642.0,League Play: Week 8,Bind,184501.0,17,No,lose
RRQ,0.0,4.0,0.0,2.0,0.0,1.0,0.0,15.0,9.0,119644.0,League Play: Week 8,Bind,184502.0,22,No,lose
PRX,2.0,2.0,2.0,0.0,0.0,6.0,4.0,14.0,7.0,119644.0,League Play: Week 8,Bind,184502.0,22,No,win
RRQ,0.0,5.0,0.0,0.0,0.0,6.0,3.0,13.0,8.0,119645.0,League Play: Week 8,Pearl,184502.0,24,Yes,lose
PRX,2.0,2.0,2.0,0.0,0.0,10.0,5.0,12.0,6.0,119645.0,League Play: Week 8,Pearl,184502.0,24,Yes,win
T1,1.0,3.0,1.0,1.0,0.0,3.0,2.0,14.0,10.0,119680.0,Playoffs: Upper Round 1,Fracture,184514.0,21,No,win
GEN,1.0,3.0,1.0,1.0,0.0,5.0,1.0,12.0,6.0,119680.0,Playoffs: Upper Round 1,Fracture,184514.0,21,No,lose
T1,1.0,3.0,1.0,1.0,0.0,7.0,4.0,13.0,6.0,119681.0,Playoffs: Upper Round 1,Ascent,184514.0,24,Yes,lose
GEN,1.0,3.0,1.0,0.0,0.0,7.0,5.0,14.0,7.0,119681.0,Playoffs: Upper Round 1,Ascent,184514.0,24,Yes,win
T1,1.0,4.0,1.0,1.0,0.0,4.0,3.0,11.0,9.0,119682.0,Playoffs: Upper Round 1,Lotus,184514.0,20,No,win
GEN,1.0,3.0,1.0,2.0,0.0,8.0,3.0,7.0,3.0,119682.0,Playoffs: Upper Round 1,Lotus,184514.0,20,No,lose
DRX,1.0,5.0,1.0,2.0,0.0,3.0,1.0,12.0,7.0,119683.0,Playoffs: Upper Semifinals,Haven,184515.0,22,No,lose
TS,1.0,3.0,2.0,2.0,1.0,3.0,2.0,14.0,8.0,119683.0,Playoffs: Upper Semifinals,Haven,184515.0,22,No,win
DRX,2.0,3.0,2.0,1.0,1.0,3.0,2.0,11.0,8.0,119684.0,Playoffs: Upper Semifinals,Split,184515.0,18,No,win
TS,0.0,4.0,0.0,1.0,0.0,6.0,4.0,7.0,1.0,119684.0,Playoffs: Upper Semifinals,Split,184515.0,18,No,lose
DRX,1.0,3.0,1.0,0.0,0.0,2.0,1.0,12.0,11.0,119685.0,Playoffs: Upper Semifinals,Bind,184515.0,17,No,win
TS,1.0,3.0,1.0,2.0,1.0,5.0,1.0,7.0,1.0,119685.0,Playoffs: Upper Semifinals,Bind,184515.0,17,No,lose
PRX,1.0,3.0,2.0,0.0,0.0,7.0,5.0,13.0,6.0,119686.0,Playoffs: Upper Semifinals,Lotus,184516.0,23,No,win
T1,1.0,3.0,1.0,2.0,1.0,5.0,1.0,13.0,7.0,119686.0,Playoffs: Upper Semifinals,Lotus,184516.0,23,No,lose
PRX,2.0,2.0,2.0,1.0,1.0,11.0,6.0,9.0,4.0,119687.0,Playoffs: Upper Semifinals,Fracture,184516.0,23,No,win
T1,0.0,4.0,1.0,1.0,0.0,7.0,6.0,11.0,3.0,119687.0,Playoffs: Upper Semifinals,Fracture,184516.0,23,No,lose
T1,2.0,2.0,2.0,1.0,0.0,4.0,3.0,16.0,8.0,119689.0,Playoffs: Lower Round 1,Haven,184517.0,23,No,win
ZETA,0.0,4.0,0.0,0.0,0.0,11.0,3.0,8.0,7.0,119689.0,Playoffs: Lower Round 1,Haven,184517.0,23,No,lose
T1,0.0,3.0,0.0,1.0,1.0,5.0,2.0,17.0,9.0,119690.0,Playoffs: Lower Round 1,Bind,184517.0,26,Yes,lose
ZETA,2.0,2.0,2.0,0.0,0.0,11.0,5.0,13.0,7.0,119690.0,Playoffs: Lower Round 1,Bind,184517.0,26,Yes,win
T1,2.0,2.0,2.0,0.0,0.0,8.0,5.0,13.0,6.0,119691.0,Playoffs: Lower Round 1,Fracture,184517.0,23,No,win
ZETA,0.0,4.0,0.0,1.0,0.0,8.0,2.0,10.0,8.0,119691.0,Playoffs: Lower Round 1,Fracture,184517.0,23,No,lose
TS,0.0,4.0,1.0,1.0,0.0,3.0,2.0,13.0,10.0,119692.0,Playoffs: Lower Round 1,Ascent,184518.0,21,No,win
GEN,2.0,3.0,2.0,2.0,1.0,6.0,2.0,10.0,3.0,119692.0,Playoffs: Lower Round 1,Ascent,184518.0,21,No,lose
TS,1.0,3.0,1.0,3.0,0.0,4.0,2.0,11.0,5.0,119693.0,Playoffs: Lower Round 1,Haven,184518.0,21,No,lose
GEN,1.0,3.0,1.0,1.0,0.0,4.0,3.0,13.0,9.0,119693.0,Playoffs: Lower Round 1,Haven,184518.0,21,No,win
TS,1.0,3.0,1.0,0.0,0.0,6.0,3.0,17.0,8.0,119694.0,Playoffs: Lower Round 1,Split,184518.0,26,Yes,lose
GEN,1.0,3.0,1.0,3.0,1.0,4.0,2.0,16.0,10.0,119694.0,Playoffs: Lower Round 1,Split,184518.0,26,Yes,win
DRX,1.0,3.0,1.0,2.0,0.0,4.0,1.0,9.0,3.0,119695.0,Playoffs: Upper Final,Fracture,184519.0,18,No,lose
PRX,1.0,2.0,1.0,2.0,0.0,1.0,1.0,13.0,11.0,119695.0,Playoffs: Upper Final,Fracture,184519.0,18,No,win
DRX,0.0,4.0,0.0,0.0,0.0,3.0,1.0,12.0,5.0,119696.0,Playoffs: Upper Final,Bind,184519.0,19,No,lose
PRX,2.0,2.0,2.0,1.0,1.0,5.0,3.0,11.0,7.0,119696.0,Playoffs: Upper Final,Bind,184519.0,19,No,win
T1,2.0,2.0,2.0,0.0,0.0,11.0,4.0,10.0,7.0,119698.0,Playoffs: Lower Round 2,Fracture,184520.0,23,No,win
GEN,0.0,4.0,0.0,1.0,0.0,1.0,0.0,17.0,10.0,119698.0,Playoffs: Lower Round 2,Fracture,184520.0,23,No,lose
T1,1.0,3.0,2.0,1.0,0.0,7.0,4.0,12.0,7.0,119699.0,Playoffs: Lower Round 2,Ascent,184520.0,23,No,win
GEN,1.0,3.0,1.0,3.0,1.0,4.0,2.0,13.0,6.0,119699.0,Playoffs: Lower Round 2,Ascent,184520.0,23,No,lose
DRX,0.0,3.0,0.0,1.0,0.0,7.0,3.0,13.0,8.0,119701.0,Playoffs: Lower Final,Ascent,184521.0,24,Yes,lose
T1,2.0,2.0,2.0,2.0,0.0,4.0,2.0,16.0,9.0,119701.0,Playoffs: Lower Final,Ascent,184521.0,24,Yes,win
DRX,1.0,3.0,1.0,0.0,0.0,9.0,6.0,12.0,6.0,119702.0,Playoffs: Lower Final,Fracture,184521.0,24,Yes,win
T1,1.0,3.0,1.0,1.0,0.0,7.0,4.0,13.0,6.0,119702.0,Playoffs: Lower Final,Fracture,184521.0,24,Yes,lose
DRX,0.0,4.0,1.0,1.0,1.0,3.0,1.0,16.0,10.0,119703.0,Playoffs: Lower Final,Haven,184521.0,24,Yes,win
T1,2.0,2.0,2.0,2.0,0.0,6.0,3.0,14.0,6.0,119703.0,Playoffs: Lower Final,Haven,184521.0,24,Yes,lose
DRX,1.0,3.0,1.0,0.0,0.0,7.0,2.0,9.0,3.0,119704.0,Playoffs: Lower Final,Bind,184521.0,19,No,lose
T1,1.0,3.0,1.0,0.0,0.0,3.0,2.0,13.0,10.0,119704.0,Playoffs: Lower Final,Bind,184521.0,19,No,win
DRX,2.0,2.0,2.0,0.0,0.0,9.0,5.0,11.0,6.0,119705.0,Playoffs: Lower Final,Pearl,184521.0,22,No,win
T1,0.0,3.0,0.0,2.0,0.0,4.0,1.0,13.0,8.0,119705.0,Playoffs: Lower Final,Pearl,184521.0,22,No,lose
PRX,2.0,3.0,2.0,0.0,0.0,14.0,4.0,2.0,0.0,119706.0,Playoffs: Grand Final,Fracture,184522.0,19,No,lose
DRX,0.0,4.0,1.0,0.0,0.0,5.0,4.0,10.0,8.0,119706.0,Playoffs: Grand Final,Fracture,184522.0,19,No,win
PRX,2.0,2.0,2.0,1.0,0.0,8.0,4.0,19.0,8.0,119708.0,Playoffs: Grand Final,Ascent,184522.0,30,Yes,lose
DRX,0.0,4.0,0.0,1.0,1.0,3.0,1.0,22.0,14.0,119708.0,Playoffs: Grand Final,Ascent,184522.0,30,Yes,win
PRX,1.0,3.0,1.0,0.0,0.0,4.0,4.0,9.0,8.0,131784.0,Playoffs: Grand Final,Lotus,184522.0,16,No,win
DRX,1.0,3.0,1.0,0.0,0.0,10.0,2.0,3.0,0.0,131784.0,Playoffs: Grand Final,Lotus,184522.0,16,No,lose
PRX,1.0,3.0,1.0,1.0,1.0,4.0,3.0,13.0,8.0,119712.0,Playoffs: Grand Final,Pearl,184522.0,21,No,win
DRX,1.0,3.0,1.0,1.0,0.0,5.0,3.0,12.0,4.0,119712.0,Playoffs: Grand Final,Pearl,184522.0,21,No,lose
PRX,1.0,3.0,1.0,0.0,0.0,4.0,4.0,12.0,8.0,119714.0,Playoffs: Grand Final,Bind,184522.0,19,No,win
DRX,1.0,3.0,1.0,1.0,1.0,7.0,3.0,8.0,1.0,119714.0,Playoffs: Grand Final,Bind,184522.0,19,No,lose
