team,pb_phase,map,tourney_type,match_id,game_id
GES,pick,Split,League Play: Week 5,184477,119573
PRX,ban,Ascent,League Play: Week 5,184477,0
GES,ban,Lotus,League Play: Week 5,184477,0
GEN,ban,Icebox,League Play: Week 5,184478,0
DRX,ban,Lotus,League Play: Week 5,184478,0
GEN,pick,Haven,League Play: Week 5,184478,119575
DRX,pick,Fracture,League Play: Week 5,184478,119576
GEN,ban,Ascent,League Play: Week 5,184478,0
DRX,ban,Split,League Play: Week 5,184478,0
RRQ,ban,Lotus,League Play: Week 5,184479,0
T1,ban,Split,League Play: Week 5,184479,0
RRQ,pick,Haven,League Play: Week 5,184479,119578
T1,pick,Fracture,League Play: Week 5,184479,119579
RRQ,ban,Icebox,League Play: Week 5,184479,0
T1,ban,Ascent,League Play: Week 5,184479,0
DFM,ban,Icebox,League Play: Week 5,184480,0
TS,ban,Lotus,League Play: Week 5,184480,0
DFM,pick,Ascent,League Play: Week 5,184480,119581
TS,pick,Haven,League Play: Week 5,184480,119582
DFM,ban,Split,League Play: Week 5,184480,0
TS,ban,Pearl,League Play: Week 5,184480,0
TLN,ban,Lotus,League Play: Week 5,184481,0
ZETA,ban,Icebox,League Play: Week 5,184481,0
TLN,pick,Haven,League Play: Week 5,184481,119584
ZETA,pick,Ascent,League Play: Week 5,184481,119585
TLN,ban,Fracture,League Play: Week 5,184481,0
ZETA,ban,Pearl,League Play: Week 5,184481,0
T1,ban,Haven,League Play: Week 6,184482,0
DFM,ban,Bind,League Play: Week 6,184482,0
T1,pick,Lotus,League Play: Week 6,184482,119587
DFM,pick,Split,League Play: Week 6,184482,119588
T1,ban,Ascent,League Play: Week 6,184482,0
DFM,ban,Pearl,League Play: Week 6,184482,0
ZETA,ban,Haven,League Play: Week 6,184483,0
TS,ban,Pearl,League Play: Week 6,184483,0
ZETA,pick,Split,League Play: Week 6,184483,119590
TS,pick,Lotus,League Play: Week 6,184483,119591
ZETA,ban,Ascent,League Play: Week 6,184483,0
TS,ban,Bind,League Play: Week 6,184483,0
GES,ban,Fracture,League Play: Week 6,184484,0
GEN,ban,Split,League Play: Week 6,184484,0
GES,pick,Pearl,League Play: Week 6,184484,119593
GEN,pick,Lotus,League Play: Week 6,184484,119594
GES,ban,Ascent,League Play: Week 6,184484,0
